application,service,application_env,repo_id,repo_branch,job_template,dockerfile,context,environment_master,registry_name
trusthub-java,master,dev,master,buildpiper-poc,devsecops-ci-v2,Dockerfile,master,dev,transbnk-ecr
trusthub-java,lms,dev,lms,buildpiper-poc,devsecops-ci-v2,Dockerfile,lms,dev,transbnk-ecr
trusthub-java,bank-integration-java,dev,bank-integration-java,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,payout,dev,payout,buildpiper-poc,devsecops-ci-v2,Dockerfile,payout,dev,transbnk-ecr
trusthub-java,payout-integration,dev,payout-integration,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,account-validation,dev,account-validation,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,account-validation-integration,dev,account-validation-integration,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,registration,dev,registration,buildpiper-poc,devsecops-ci-v2,Dockerfile,registration,dev,transbnk-ecr
trusthub-java,dlc,dev,dlc,buildpiper-poc,devsecops-ci-v2,Dockerfile,dlc,dev,transbnk-ecr
trusthub-java,virtual-account-integration,dev,virtual-account-integration,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,download-center,dev,download-center,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,notification,dev,notification,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,audit,dev,audit,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,mfa,dev,mfa,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,nach,dev,nach,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,upi-autopay,dev,upi-autopay,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,payment-gateway,dev,payment-gateway,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,payment-gateway-integration,dev,payment-gateway-integration,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,communication,dev,communication,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,analytics-mis,dev,analytics-mis,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,econtract-migration,dev,econtract-migration,buildpiper-poc,devsecops-ci-v2,Dockerfile,econtract-migration,dev,transbnk-ecr
trusthub-java,trustee-integration,dev,trustee-integration,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
trusthub-java,connected-banking-integration,dev,connected-banking-integration,buildpiper-poc,devsecops-ci-v2,Dockerfile,.,dev,transbnk-ecr
